"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A", "Event #"
181256,147651,205126,1147.62,303.8,99.82,208.32,-16.12,219.52,43.52,81.28,1762.22,5207.14,2544.64,693.12,222.08,22733.4,1.484,1134.51,147.908,78.9262,-10.6958,-32.7349,218.054,-17.5854,98.1234,1424.26,4396.86,222.109,580.065,-319.529,6402.38,693
183929,146165,151328,367.04,193.44,117.8,322.4,59.52,155.52,-58.88,103.04,867.62,2458.02,1380.24,1054.72,341.12,34778.9,1.494,358.216,98.5435,103.597,63.2049,25.5112,152.126,-80.7944,137.571,709.557,2069.8,180.882,549.818,-408.755,27027.9,697
204989,144056,229814,479.88,92.38,95.48,404.24,62,331.52,125.44,55.04,1097.66,3665.02,1964.57,1285.12,791.04,63935.4,1.503,468.281,-36.1846,85.2023,189.959,11.6149,326.67,-3.28471,45.7096,853.31,3196.4,283.986,256.597,-274.984,52247.9,702
180555,148562,172377,697.5,148.18,126.48,276.52,215.76,380.8,273.28,-71.04,1464.73,3620.29,1540.7,1311.36,722.56,46878.1,1.511,685.93,0.780804,120.305,-8.65319,188.632,381.885,127.218,-125.989,1239.09,2932.43,-90.5518,590.985,-225.787,35901.3,707
230790,158444,120612,463.76,56.42,203.98,203.98,53.94,180.48,231.68,83.2,1037.31,2636.23,1282.97,724.48,213.76,26208,1.541,458.066,-69.2776,217.366,-290.534,47.6457,183.764,266.553,69.7029,872.262,2141.48,-79.4825,374.221,-546.834,18176.6,726
204333,142437,148523,780.58,187.86,168.64,261.02,7.44,367.36,210.56,-88.32,1064.29,3163.05,1388.05,912,142.08,30444.2,1.556,771.703,38.5226,163.594,-106.804,-11.517,369.664,164.232,-89.4876,858.825,2656.06,-177.073,527.668,-638.915,20571.4,733
161604,132321,181428,543.74,222.58,140.12,194.06,3.72,103.68,-64.64,58.88,908.09,2590.79,1381.66,1049.6,406.4,41015,1.556,537.032,95.4382,133.307,-132.038,-6.74892,104.551,-42.9576,96.9187,741.98,2171.26,88.0467,420.923,-384.461,32898.2,734
202567,153420,182994,419.12,114.7,103.54,166.78,-6.82,76.8,-121.6,-58.88,903.12,2794.56,1219.78,1203.84,413.44,58146.6,1.571,413.427,-7.81198,103.648,-56.6808,-19.3721,77.7928,-60.0959,-5.72528,720.831,2399.51,-108.857,259.339,-500.785,49327.1,746
142369,104673,216747,1366.48,427.18,397.42,907.68,144.46,212.48,7.68,50.56,918.74,2687.35,1983.74,150.4,82.56,3208.32,1.587,1353.6,189.727,371.179,-9.27283,55.8209,209.776,43.7962,86.3171,743.3,2194.22,290.233,292.77,-752.962,-5123.95,756
242905,134505,199326,680.76,255.44,147.56,438.34,154.38,50.56,-5.12,45.44,974.83,2514.82,1227.59,1415.68,472.32,55883.5,1.626,671.485,97.3684,129.378,131.791,104.664,46.2977,57.931,69.6024,815.259,2042.54,-3.91794,485.364,-593.185,48156.3,786
175987,142060,202403,497.86,204.6,118.42,384.4,-1.24,259.84,-75.52,26.88,1112.57,2479.32,1478.93,977.92,444.16,30563.8,1.642,487.219,101.154,100.169,117.69,-43.6174,256.607,-176.773,62.2868,962.531,1959.89,329.123,548.151,-257.973,23093.5,794
221206,167749,195419,492.28,87.42,160.58,303.8,40.92,531.84,59.52,188.8,1305.69,3591.18,1689.09,807.04,311.68,23545,1.659,480.362,-20.4546,159.312,-62.7117,12.1869,530.04,-136.075,204.986,1077.08,3009.96,-24.378,600.742,-394.341,12301.5,801
202190,153353,146337,476.16,97.96,67.58,412.3,-4.34,208,136.96,-51.84,906.67,2653.27,1231.14,1312.64,643.84,53628.8,1.663,466.885,-14.6894,53.0403,290.352,-61.6235,202.58,60.4685,-57.5693,733.235,2241.62,51.2464,416.711,-281.905,45330.4,803
161325,138293,129286,453.84,97.34,73.78,342.86,31,513.92,32,0.64,824.31,2184.67,1096.24,575.36,135.04,11984,1.666,442.992,27.0057,58.0698,202.292,-13.02,509.922,-185.461,13.8224,685.71,1809.3,106.252,508.011,-293.695,5182.81,806
