,158VV48LH,,,158VV48LL,,,,,,,
Time (Seconds),3G8,SKOV-3,221,3G8,SKOV-3,221,,,,,
170.011,1.990321,1.134817,4.02908,1.538466,1.073097,3.516737,,,,,
170.511,1.989281,1.134684,4.027916,1.538349,1.073608,3.516305,,,,,
171.011,1.98876,1.134574,4.026505,1.53829,1.073104,3.516036,,,,,
171.511,1.988662,1.134492,4.025597,1.53797,1.072124,3.515384,,,,,
172.011,1.98788,1.134428,4.024287,1.537645,1.072211,3.514097,,,,,
172.511,1.987501,1.13432,4.023234,1.537545,1.07316,3.513928,,,,,
173.011,1.986783,1.134246,4.023205,1.537474,1.073694,3.513731,,,,,
173.511,1.986683,1.133986,4.022533,1.537382,1.073374,3.512158,,,,,
174.011,1.985701,1.133857,4.021282,1.537117,1.073204,3.513643,,,,,
174.511,1.985447,1.133785,4.02022,1.536975,1.072731,3.513731,,,,,
175.011,1.985027,1.133595,4.02022,1.53696,1.072373,3.512664,,,,,
175.511,1.984782,1.133569,4.018489,1.536557,1.072252,3.5125,,,,,
176.011,1.984296,1.133856,4.018786,1.536344,1.071922,3.512335,,,,,
