Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
121.511,2.103475342,2.973709,3.321206238,3.034118944,2.550936
122.011,2.112085344,2.976128,3.31883253,3.043082268,2.558877
122.511,2.119528355,2.978709,3.313477537,3.051910754,2.562977
123.011,2.129245299,2.988741,3.310878339,3.059025908,2.567986
123.511,2.143515732,2.990747,3.30948105,3.065703695,2.577583
124.011,2.157383843,2.990747,3.30748629,3.06923455,2.587204
124.511,2.169121128,2.99417,3.306049883,3.073523234,2.589074
125.011,2.173297645,2.999765,3.301415201,3.078426196,2.587575
125.511,2.181656164,3.000982,3.29988322,3.0829714,2.587575
126.011,2.189256016,3.006482,3.29361085,3.085297054,2.591601
126.511,2.206695771,3.010325,3.292342842,3.09237509,2.598021
127.011,2.216677705,3.017089,3.2867594,3.098639333,2.60615
127.511,2.221639066,3.023243,3.286666978,3.10524837,2.61568
128.011,2.234208547,3.027648,3.284602555,3.10607147,2.613841
128.511,2.242189018,3.029107,3.281454935,3.109895325,2.619742
129.011,2.253578501,3.034342,3.281103488,3.116840565,2.631432
129.511,2.260502218,3.036264,3.279845447,3.126420328,2.637187
130.011,2.268192538,3.035224,3.281888714,3.13232701,2.641574
130.511,2.27607599,3.036505,3.279438932,3.13710705,2.646357
131.011,2.291076242,3.037843,3.276841017,3.139139108,2.649814
131.511,2.293980258,3.037705,3.275605768,3.142144719,2.649328
132.011,2.298353093,3.037774,3.270797589,3.140047702,2.652624
132.511,2.308420681,3.039795,3.268357577,3.141229481,2.656251
133.011,2.312908147,3.043331,3.265578869,3.143616311,2.660752
133.511,2.316778108,3.046417,3.262013316,3.144559741,2.653838
134.011,2.322839311,3.04602,3.255672032,3.147216852,2.654118
134.511,2.334206124,3.046344,3.254780043,3.147553435,2.656251
135.011,2.343659356,3.048384,3.252436941,3.151542324,2.660113
135.511,2.349427174,3.053671,3.249577069,3.150025241,2.653112
136.011,2.350164618,3.055061,3.249055462,3.154589416,2.654191
136.511,2.353535071,3.055559,3.246727673,3.156328855,2.649583
137.011,2.356324044,3.059275,3.237949448,3.155670249,2.649814
137.511,2.361126846,3.057347,3.23570569,3.156434578,2.650955
138.011,2.364458493,3.058274,3.230534051,3.159145084,2.650955
138.511,2.37424024,3.063094,3.225960983,3.167035771,2.65179
139.011,2.378291458,3.063464,3.224267814,3.166073803,2.659797
139.511,2.383243321,3.063094,3.221370843,3.169318298,2.650955
140.011,2.386972195,3.058582,3.219757325,3.170319314,2.647315
140.511,2.391258065,3.059254,3.214921248,3.168350697,2.641574
141.011,2.394238199,3.058582,3.212986366,3.166697613,2.642179
141.511,2.395651819,3.057347,3.20844251,3.167572561,2.640412
142.011,2.402369848,3.059275,3.20481862,3.163821971,2.639261
142.511,2.408655434,3.065319,3.201381657,3.163466865,2.634394
143.011,2.410358255,3.063641,3.193089142,3.164566932,2.628903
143.511,2.41558054,3.063303,3.188349092,3.15999983,2.628666
144.011,2.419447789,3.063952,3.183560649,3.157686779,2.628903
144.511,2.429269442,3.067325,3.181523127,3.156782687,2.628785
145.011,2.436533637,3.068656,3.173020666,3.155768815,2.628903
145.511,2.44111961,3.068656,3.169714457,3.154501118,2.621946
146.011,2.442371793,3.070809,3.163346331,3.149372538,2.628666
146.511,2.442371793,3.067325,3.161357258,3.147216852,2.619203
147.011,2.448680659,3.067151,3.159128124,3.142445043,2.617491
147.511,2.452217665,3.070223,3.154562386,3.140690378,2.617477
148.011,2.452583909,3.071664,3.153460456,3.137141756,2.619785
148.511,2.457513433,3.068356,3.149041,3.138431362,2.611856
149.011,2.457513433,3.071621,3.146552451,3.139429929,2.606405
149.511,2.459557477,3.074176,3.145647925,3.140533449,2.604093
150.011,2.457513433,3.073302,3.144177201,3.136430692,2.604376
150.511,2.459311438,3.074176,3.139164645,3.133718713,2.595429
151.011,2.460016855,3.076,3.137389494,3.128485151,2.59339
151.511,2.46111967,3.074147,3.133995455,3.125217297,2.591522
152.011,2.46273103,3.073726,3.129858855,3.119212129,2.588549
152.511,2.462632124,3.076,3.126691178,3.115631028,2.586455
153.011,2.462193537,3.074147,3.122050691,3.110905005,2.586238
153.511,2.462193537,3.07327,3.119718117,3.104010478,2.584195
154.011,2.463934516,3.071621,3.116949756,3.100740518,2.581003
154.511,2.464470744,3.070223,3.113892175,3.097510885,2.573171
155.011,2.464699086,3.069637,3.108492937,3.097034314,2.566176
155.511,2.477096625,3.072287,3.10494885,3.09237509,2.563907
156.011,2.475143129,3.071697,3.101158246,3.090121519,2.561937
156.511,2.482366638,3.070547,3.100299237,3.087683923,2.559901
157.011,2.483332134,3.071621,3.098485973,3.083788475,2.559511
157.511,2.479678207,3.071664,3.095714878,3.081091751,2.551318
158.011,2.484371399,3.06816,3.091680805,3.073759709,2.548569
158.511,2.484835878,3.067536,3.089989204,3.069574352,2.544997
159.011,2.486002434,3.067151,3.086144283,3.067386464,2.542551
159.511,2.489218362,3.065153,3.080308411,3.065703738,2.534872
160.011,2.488436994,3.063303,3.076047712,3.063633577,2.53556
160.511,2.486002434,3.061663,3.073755069,3.056438524,2.534139
161.011,2.484136947,3.058432,3.071269228,3.054716896,2.527956
161.511,2.488871037,3.05666,3.068111158,3.049049125,2.52895
162.011,2.484371399,3.056637,3.066268846,3.041155341,2.525128
162.511,2.479678207,3.058274,3.064912389,3.038395488,2.521283
163.011,2.481436433,3.058116,3.063400086,3.034315631,2.518888
163.511,2.475143129,3.054327,3.060803153,3.033057408,2.511525
164.011,2.473809663,3.052167,3.058011109,3.025699299,2.508779
164.511,2.473809663,3.048573,3.056510703,3.022633232,2.503879
